"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\For Study\Ancient-Chinese-mathematics\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\For Study\Ancient-Chinese-mathematics\image\tools\等于.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\For Study\Ancient-Chinese-mathematics\image\tools\铜圆规.svg", "XML", 0, 0, 0, 0, 0, 583, 0, 0, 583
"d:\For Study\Ancient-Chinese-mathematics\index.html", "HTML", 0, 0, 0, 217, 0, 0, 380, 17, 614
"d:\For Study\Ancient-Chinese-mathematics\package-lock.json", "JSON", 0, 3496, 0, 0, 0, 0, 0, 1, 3497
"d:\For Study\Ancient-Chinese-mathematics\package.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\For Study\Ancient-Chinese-mathematics\src\about\about.css", "CSS", 0, 0, 0, 0, 191, 0, 7, 11, 209
"d:\For Study\Ancient-Chinese-mathematics\src\about\about.html", "HTML", 0, 0, 0, 131, 0, 0, 2, 9, 142
"d:\For Study\Ancient-Chinese-mathematics\src\about\about.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\For Study\Ancient-Chinese-mathematics\src\books\books.css", "CSS", 0, 0, 0, 0, 380, 0, 6, 70, 456
"d:\For Study\Ancient-Chinese-mathematics\src\books\books.html", "HTML", 0, 0, 0, 1078, 0, 0, 16, 51, 1145
"d:\For Study\Ancient-Chinese-mathematics\src\books\books.js", "JavaScript", 0, 0, 55, 0, 0, 0, 1, 8, 64
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\changeModel.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 3, 48
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\footer.css", "CSS", 0, 0, 0, 0, 602, 0, 3, 9, 614
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\hide-text.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 3, 32
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\home-page.css", "CSS", 0, 0, 0, 0, 199, 0, 7, 33, 239
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\home-page.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 10, 44
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-1.js", "JavaScript", 0, 0, 81, 0, 0, 0, 13, 24, 118
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-2.js", "JavaScript", 0, 0, 67, 0, 0, 0, 26, 18, 111
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-3.js", "JavaScript", 0, 0, 62, 0, 0, 0, 20, 17, 99
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-4.js", "JavaScript", 0, 0, 65, 0, 0, 0, 24, 17, 106
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-5.js", "JavaScript", 0, 0, 63, 0, 0, 0, 24, 16, 103
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model-load.js", "JavaScript", 0, 0, 22, 0, 0, 0, 2, 2, 26
"d:\For Study\Ancient-Chinese-mathematics\src\homepage\model.js", "JavaScript", 0, 0, 79, 0, 0, 0, 16, 26, 121
"d:\For Study\Ancient-Chinese-mathematics\src\mathematicians\mathematicians.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\For Study\Ancient-Chinese-mathematics\src\mathematicians\mathematicians.html", "HTML", 0, 0, 0, 61, 0, 0, 1, 5, 67
"d:\For Study\Ancient-Chinese-mathematics\src\public\background-index.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\For Study\Ancient-Chinese-mathematics\src\public\background.css", "CSS", 0, 0, 0, 0, 29, 0, 1, 6, 36
"d:\For Study\Ancient-Chinese-mathematics\src\public\background.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 7, 121
"d:\For Study\Ancient-Chinese-mathematics\src\public\font.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 4, 34
"d:\For Study\Ancient-Chinese-mathematics\src\public\loading.css", "CSS", 0, 0, 0, 0, 213, 0, 3, 18, 234
"d:\For Study\Ancient-Chinese-mathematics\src\public\menu.css", "CSS", 0, 0, 0, 0, 51, 0, 0, 8, 59
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\GLTFLoader.js", "JavaScript", 0, 0, 2032, 0, 0, 0, 331, 1494, 3857
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\OrbitControls.js", "JavaScript", 0, 0, 612, 0, 0, 0, 80, 526, 1218
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\RectAreaLightHelper.js", "JavaScript", 0, 0, 49, 0, 0, 0, 6, 31, 86
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\RectAreaLightUniformsLib.js", "JavaScript", 0, 0, 20, 0, 0, 0, 17, 21, 58
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 6, 0, 7
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\jquery.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\owl.theme.default.css", "CSS", 0, 0, 0, 0, 40, 0, 8, 3, 51
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\particles.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 8, 0, 9
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\stats.module.js", "JavaScript", 0, 0, 96, 0, 0, 0, 3, 69, 168
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\swiper-bundle.min.css", "CSS", 0, 0, 0, 0, 1, 0, 11, 1, 13
"d:\For Study\Ancient-Chinese-mathematics\src\public\reference\three.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 1, 3
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timeline.css", "CSS", 0, 0, 0, 0, 177, 0, 2, 4, 183
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timeline.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 3, 56
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timelineData.js", "JavaScript", 0, 0, 156, 0, 0, 0, 141, 7, 304
"d:\For Study\Ancient-Chinese-mathematics\src\timeline\timelineData.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 132
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.css", "CSS", 0, 0, 0, 0, 247, 0, 0, 51, 298
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.html", "HTML", 0, 0, 0, 247, 0, 0, 2, 17, 266
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\Abacus.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 36, 214
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Abacus\playGIF.js", "JavaScript", 0, 0, 9, 0, 0, 0, 4, 3, 16
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.css", "CSS", 0, 0, 0, 0, 125, 0, 0, 23, 148
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.html", "HTML", 0, 0, 0, 70, 0, 0, 1, 4, 75
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Caliper\Caliper1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.css", "CSS", 0, 0, 0, 0, 201, 0, 1, 31, 233
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.html", "HTML", 0, 0, 0, 1638, 0, 0, 2, 8, 1648
"d:\For Study\Ancient-Chinese-mathematics\src\tools\Compasses\Compasses.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 7, 51
"Total", "-", 2, 3636, 4002, 3442, 2521, 584, 1183, 2746, 18116